2026-05-22 12:44:08 | INFO     | student_mgmt | Student Management System started.
2026-05-22 12:46:03 | INFO     | student_mgmt | REQUEST  GET /docs
2026-05-22 12:46:03 | INFO     | student_mgmt | RESPONSE GET /docs -> 200  (2.00 ms)
2026-05-22 12:46:04 | INFO     | student_mgmt | REQUEST  GET /openapi.json
2026-05-22 12:46:04 | INFO     | student_mgmt | RESPONSE GET /openapi.json -> 200  (86.44 ms)
2026-05-22 12:46:30 | INFO     | student_mgmt | REQUEST  GET /
2026-05-22 12:46:31 | INFO     | student_mgmt | RESPONSE GET / -> 200  (283.02 ms)
2026-05-22 12:46:31 | INFO     | student_mgmt | REQUEST  GET /css/style.css
2026-05-22 12:46:31 | INFO     | student_mgmt | REQUEST  GET /js/app.js
2026-05-22 12:46:31 | INFO     | student_mgmt | RESPONSE GET /css/style.css -> 200  (12.59 ms)
2026-05-22 12:46:31 | INFO     | student_mgmt | RESPONSE GET /js/app.js -> 200  (29.95 ms)
2026-05-22 12:46:32 | INFO     | student_mgmt | REQUEST  GET /favicon.ico
2026-05-22 12:46:32 | WARNING  | student_mgmt | RESPONSE GET /favicon.ico -> 404  (19.75 ms)
2026-05-22 12:46:33 | INFO     | student_mgmt | REQUEST  POST /auth/login
2026-05-22 12:46:33 | INFO     | student_mgmt | Login attempt for username='admin'
2026-05-22 12:46:34 | INFO     | student_mgmt | Login SUCCESS for username='admin' role='admin'
2026-05-22 12:46:34 | INFO     | student_mgmt | RESPONSE POST /auth/login -> 200  (721.67 ms)
2026-05-22 12:46:34 | INFO     | student_mgmt | REQUEST  GET /students/
2026-05-22 12:46:34 | DEBUG    | student_mgmt | Token validated for username='admin'
2026-05-22 12:46:36 | DEBUG    | student_mgmt | GET all students — querying DB (dept=None min_gpa=None max_gpa=None skip=0 limit=100)
2026-05-22 12:46:38 | INFO     | student_mgmt | GET all students — returned 4 records
2026-05-22 12:46:38 | INFO     | student_mgmt | RESPONSE GET /students/ -> 200  (4105.44 ms)
2026-05-22 12:46:38 | INFO     | student_mgmt | REQUEST  GET /audit-logs/
2026-05-22 12:46:38 | DEBUG    | student_mgmt | Token validated for username='admin'
2026-05-22 12:46:38 | INFO     | student_mgmt | RESPONSE GET /audit-logs/ -> 200  (19.54 ms)
2026-05-22 12:46:44 | INFO     | student_mgmt | REQUEST  GET /students/
2026-05-22 12:46:44 | DEBUG    | student_mgmt | Token validated for username='admin'
2026-05-22 12:46:46 | DEBUG    | student_mgmt | GET all students — querying DB (dept=None min_gpa=None max_gpa=None skip=0 limit=10)
2026-05-22 12:46:48 | INFO     | student_mgmt | GET all students — returned 4 records
2026-05-22 12:46:48 | INFO     | student_mgmt | RESPONSE GET /students/ -> 200  (4049.20 ms)
2026-05-22 12:47:39 | INFO     | student_mgmt | REQUEST  POST /auth/register
2026-05-22 12:47:40 | INFO     | student_mgmt | Registration attempt for username='string'
2026-05-22 12:47:40 | WARNING  | student_mgmt | Registration failed — username already exists: 'string'
2026-05-22 12:47:40 | WARNING  | student_mgmt | RESPONSE POST /auth/register -> 400  (157.43 ms)
2026-05-22 12:47:41 | INFO     | student_mgmt | REQUEST  POST /auth/register
